theta_h,4a,4b,4c,4d,5a
0.0,0.9999999999999242,0.0,-0.0,0.0,0.9999999999994869
0.09817477042468103,0.9951313489849707,-2.4830256949696408e-05,6.144776885287841e-10,9.253246991473975e-16,0.9953126311302185
0.19634954084936207,0.9798356525966532,-0.0006011100059369551,1.228137158813257e-07,6.731570137078689e-11,0.9813357591629028
0.2945243112740431,0.9514899078900937,-0.002994982197117843,1.0927974729898352e-06,8.767920771773912e-09,0.951978325843811
0.39269908169872414,0.9048427074671951,-0.007714801813112025,2.9323229037927505e-06,-9.513452144508841e-08,0.8988220691680908
0.4908738521234052,0.8331335938133686,-0.014620625427582197,9.657528512463492e-06,-1.9849809089280612e-06,0.8282237648963928
0.5890486225480862,0.7314640558287105,-0.023392262244592562,3.056326225635981e-05,-1.1773277581747868e-05,0.7442229390144348
0.6872233929727672,0.6011037346814176,-0.028130634105231485,3.7800714439516686e-05,-4.046654166629812e-05,0.6317830681800842
0.7853981633974483,0.45280386917341503,-0.012840895482336079,-4.361725670444756e-05,-8.458405887458368e-05,0.47834813594818115
0.8835729338221293,0.30568047425349004,0.0315001447017338,-0.0008620568006312591,-0.00021337900214336,0.2888529896736145
0.9817477042468103,0.18031678762912107,0.09430149340485344,-0.0073791328691666675,-0.0016347635945088662,0.1235056072473526
1.0799224746714913,0.09030087992119619,0.1788541479346226,-0.03852849505529037,-0.012714908658652904,0.03603615239262581
1.1780972450961724,0.0372627785874283,0.3174750563553381,-0.13340763556564644,-0.06514623781400092,0.007568147964775562
1.2762720155208536,0.012260250710800015,0.5213555932290461,-0.33026718156699403,-0.22161980986809043,0.0011570121860131621
1.3744467859455345,0.0029363586750777927,0.7490256994307637,-0.6151782938367956,-0.5164016331889676,8.61700318637304e-05
1.4726215563702154,0.0003244411855672822,0.9303109905832745,-0.8863112892943865,-0.8486253586109209,8.177266863640398e-07
1.5707963267948966,-3.8458592608938493e-17,0.9999999999999064,-0.9999999999998184,-0.9999999999998221,0.0
