theta_h,4a,4b,4c,4d,5a,5b
0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.09817477042468103,0.995131348985042,-2.2645797282e-05,0.0,0.0,0.995325,0.995952
0.19634954084936207,0.979835652596717,-0.000612723912212,0.0,0.0,0.981355,0.979519
0.2945243112740431,0.951489907890153,-0.002989774631147,0.0,0.0,0.951985,0.926329
0.39269908169872414,0.90484270746727,-0.007738403774336,0.0,0.0,0.898789,0.853414
0.4908738521234052,0.833133593813441,-0.014579669806314,0.0,0.0,0.827899,0.804827
0.5890486225480862,0.731464055828782,-0.023402349579257,-1.8069259642e-05,-7.24164282e-07,0.743562,0.712703
0.6872233929727672,0.601103734681462,-0.028306099885175,0.000103846400043,1.0504512704e-05,0.629415,0.537281
0.7853981633974483,0.452803869173453,-0.012990817749392,2.7827456729e-05,-1.2529664673e-05,0.474107,0.26453
0.8835729338221293,0.305680474253514,0.031438518977114,-0.000786749473505,-0.000189681071453,0.284805,0.084126
0.9817477042468103,0.180316787629135,0.094350135727801,-0.006909915945385,-0.001487819790956,0.123659,0.01731
1.0799224746714913,0.090300879921203,0.178977085456506,-0.037973967195504,-0.012565163528405,0.036369,0.001379
1.1780972450961724,0.037262778587431,0.317457835872852,-0.133264211276525,-0.065059695399064,0.007501,3.8e-05
1.2762720155208536,0.012260250710801,0.521399245372555,-0.330273229817065,-0.221635798826552,0.00122,0.0
1.3744467859455345,0.002936358675078,0.749064657901048,-0.615228037686238,-0.516463528463542,9.1e-05,0.0
1.4726215563702154,0.000324441185567,0.930334079854072,-0.886324092202712,-0.84864464307534,0.0,0.0
1.5707963267948966,0.0,1.0,-1.0,-1.0,0.0,0.0
